"questions","type"
"антон владимировичя годактивныйгипотиреознесколько год постоянно принимать препарат снижать давлениезначение давление колебатьсявпервые обращаться за помощькогда на фон стресс давление быть несколько год врач предполагать проблема с нерв и систематический от давление я не принимать ничтозатем быть выявлять гипотиреоз и тогда быть назначать лечение от гипертонияамлодипин но последний время появляться сильный отек на нога и веквыписывать препарат эдарбидозамгвчера первый раз приниматьслава богполовинкачерез час резко подскакивать давлениеначинаться боль за грудинав животзатемзатрястизастучать зубначало сводить рукавызывать скорый помощькапотныйживойно состояние с утро ужасныйнеприятный ощущение в левый сторона грудь и рукахотеть быть здоровый и активныйпросить ваш советс уважение и надеждасветлана георгиевна","C"
"мой мама год нескко год подрядв связь с гб и тахикардия принимать конкор мг и индапамид мг в последний время становиться беспокоить экстрасистолия трепыхание в сердцепровал проводить обследование экгэхо на эхо незначительный утолщение мжп назначение врач конкорубирать вместо он дилтиазем мг индапамид мг магн б панангин тенотный мама пока не становиться принимать магн б панангин и тенотный до сдача анализ но конкортаки заменять на дилтиазем уходить трепыхание и провал но последний  давление становиться повышенный на конкор и пульс на конкор присоединяться головной боль по вечер этот синдром резкий отмена конкор что делать с головной боль тахикардия продолжать ли пить дилтиазем спасибо","C"
"я год лето год перенести инфаркт в больница я приписывать таблетка многий таблетка к участковый кардиолог не попадать приходиться идти в платный в скандинавия там уже некоторый назначение поменять причем в больница  плавикс пить один год тот в скандинавия сказать до февраль тот быть месяц и вопрос что чреватый курение я никак не бросать курить мочь когда понимать быть легко бросать заранее благодарить за ответ любовь евгеньевна","Other"
"людмила год мой диагноз узловой зобдисгармональный кардиомиопатия с нарушение ритм по тип пароксизмальный тахикардияэкстрасистолияартериальный гипертензия ст принимать престариум мг таблеткаконкор мг по таблапод контроль пульссотагексал мг при приступ сердцебиение и аритмиякак скорый помощь при высокий давление каптоприл мг таблапод язык делать кардиограмма ритм синусовыйбрадикардиянормаж эхокардиография делатазий левый предсердие в длина объем левый предсердие млразмер стенка не увеличиватьстенка аорта уплотнятьмитральный регуритация степсократительный способность миокард не нарушать масса миокард г мониторивание по холтер чсс день мина максчсс ночь мина максбрадикардия в течение сутки выражатьциркадный индекс снижение ночь чсс в нормальный пределв течение сутки субмаксимальный чсс достигать от максимальный возможный для давать возраст нарушение ритм сердце желудочковый экстрасистолия градация по ryan регистрироваться патологический число наджелудочковый аритмиярегистрироваться желудочковый аритмия характерный для здоровый лицоколичество аритмия высокий нормажелудочковый эктопический активность преобладать день за время обследование наблюдаться следующий тип ритм синусовый ритм в течение время наблюдение с чсс от до удамина наблюдаться следующий аритмия одиночный желудочковый мономорфный экстрасистола с предэктопический интервал от довесь день ночь парной политопный экстрасистола с предэктопический интервал от до день ночь нет одиночный наджелудочковый экстрасистола с предэктопический интервал от до весь день ночь парной наджелудочковый экстрасистола с предэктопический интервал от до весь день ночь пароксизм суправентрикулярный тахикардия до удаминавесь день ночь эпизод наджелудочковый ускоренный ритм с чсс удаминаночь пароксизм наджелудочковый тахикардия с чсс от до удаминадень пауза за счет синусовый аритмия с предэктопический интервал от до весь день ночь значить изменение qt интервал в течение сутки не выявлять вариабельность ритм сердце сохранять соотношение высокочастотный и низкочастотный компонент сблансироватьишемический изменение не обнаруживать этот давать быть в декабрь год похожий я надо заново весь пройти и несмотря на лечение у я иногда возникать проблема те аритмия и давление подскакивать а посоветовать  какой средство мочь помогать при боль в сердце вчера быть такой ситуация давление пульс аритмия принимать престариумзатем каптоприл сотагексалчерез час весь нормализоваться а сегодня болеть сердце какой лекарство принимать не знать посоветоватькак быть когда так случаться и какой лекарство можно принимать когда пульс и аритмия спасибо","C"
"доктор я год холестерин холтер чсс в течение сутки норма циркадный индекс одиночный наджелудочковый эс  желудочковый не обнаруживать ишемический изменение не обнаруживать значить изменение qtинтервал не выявлять весь динамика ад за сутки в норма pqинтервал транзиторный ав блокада ст длительность ч мин максимальный pqмс ад в теч сутки от до последний год принимать валз или метопрололратиофарм сейчас другой врач назначать небилет мг утро нортиван утро и вечер предуктал мв утро и вечер омакор  магн в высокий ад снимать каптоприл анаприлин главный очень плохой переносить эсистола жар в голова страх раздражительность считать пульс пришлушиваться новый препарат принимать маленький месяц если ад научаться регулировать тот эс очень беспокоить в течение день от до штука еще частый головокружение и звон в ухо  насколько они опасный для жизнь и можно ли они предотвращать да и в дальнейший ситуация наверное быть усугубляться","C"
"я год диагноз ибс гипертония диабет уже год я принимать конкор а в февраль это год врач я поменять он на карведилол с цель снижать пульс с ия становиться принимать он с число пульс становиться и в область сердце я становиться ощущать дискомфорт жжение оритмия нужно ли снова переходить на конкор забывать указывать стенокардия карведилол мг принимать раз в","C"
"я год в детство перенести миокардит в легкий форма я даже и не чувствовать ничто весь жизнь заниматься физкультура и сейчас каждый упражнение делать по раз и приседать раз работа быть физический но вот год восемь назад становиться ощущать перебой в сердце врач назначать эгилка как она  на всякий случай я три год он пить по мг но этот не помогать перебой бывать независимый от нагрузка даже наоборот часто бывать в покой и когда спать ложиться в результат давление становиться в средний но я чувствовать себя нормальный я переставать этот пить рост у я см вес кг иногда меняться последний время становиться замечать что во время занятие весь нормальный а спустя некоторый время появляться перебой вот сделать суточный экг посмотреть  и сказать на скольким весь серьезный","C"
"уважать доктор я год май это год я перенести ограниченный проникать инфаркт нижний стенка проводить стентирование я быть поставлять диагноз гиперхолестеремий сейчас я принимать весь лекарство брилинт омез кардиомагнил липримар перинев коронал не курить посол инфаркт держать бесхолестериновый диета избавляться от избыточный вес сейчас весить уже кг при рост см стараться вести подвижный образ жизнь возможно в целый чувствовать себя даже хороший что до инфаркт хотеть вы задавать следующий вопрос по прием омепразол как долго нужно он принимать посол инфаркт я знать что брилинт на год а остальное четыре пожизненный о дозировка статин с конец май по конец июль я принимать по мг липримар в  в конец май у я быть липопротеид низкий плотность лпнп единица высокий лпвп триглицерид к август быть достигать целевой показатель лпнп лпвп триглицерид но показатель аlt и ast оказываться высокий норма и вместо и соответственно в август я уже принимать липримар по мг к сентябрь alt и ast даже немного повышаться а лпнп подниматься до вместо но и лпвп подрастать до надо ли еще корректировать дозировка задавать этот вопрос отчасти и потому что гдето вы писать что статин нужный не только для понижение уровень лпнп я стараться многий двигаться например сейчас проходить по пять с половина километр за час по парк каждый день и у я становиться возникать несильный или слабый боль в область грудной клетка спереди и сзади сзади у левый лопатка иногда сверху а иногда снизу точно первый эпизод наблюдаться в кардиосанаторий к вечер в день сеанс массаж три раз я делать экг во время болевой ощущение она ничто дурной не показывать я отменять массаж и боль фактически переставать я беспокоить теперь я большой двигаться и они появляться снова что я конечно тревожить как правило можно нащупывать центр боль казаться они располагать около сочленение ребро около позвоночник они приятный помассировать боль сглаживатся давить или жечь боль возникать лишь около лопатка но она мочь длиться долго не минут и мочь возникать при долгий сидение за рабочий стол боль часто зависеть от движение корпус от то расправлять ли я плечо и тд при энергичный ходьба весь они мочь пройти правильно я понимать что такой боль несердечный и я не стоять на они концентрироваться заранее огромный спасибо вы за ответ весь сам хороший александр","Other"
"я страдать сдиабет тип год и теперь присоединяться гипертония ад года женский пол терапевт выписывать престариуминдапамид и метропрололно от этот препарат у я сахар подниматься вдвое а от фелодип с дозировка мг постоянно красный лицо и голвный больсейчас не принимать ничто не считать антидиабетический преператпосоветовать пожалуст препарат который совместимый с антидиабетический","C"
"я год у я пмк степенипри это мой пульс учащенный от удав минутапри давление и я бывать плохойя становиться принимать тридуктан мвправильно ли я делатьподсказывать","C"
"доктор в связь с высокий атмадавление у мой мама год продолжительный время месяц держаться высокий артдавление до она принимать престариум капозид и кордафлекс быть  называть новый современный лекарство от давление что вы посоветовать спасибо","C"
"антон владимирович эпизодический с частота раз в несколько год случаться гемонезначимый эпизод нжт с чсс длительность от секунда до час купироваться самостоятельный для выяснение причина wpw авурт проавт и т д оформляться по квота на эндокардиальный эфи с последующий рча в случай необходимость сдавать анализ холтер обычный экг в отведение эхо кг гормон щитовидный железа биохимия моча весь хороший никакой отклонение чсс с атенолол между и без атенолол между и ад без атенолол между и с атенолол в дозировка по таблетка раз в  между и рабочий ад с который чувствовать себя отличный стойкий повышение ад высокий не наблюдать даже без атенолол бывать кратковременный повышение до при сильный стресс если сд падать низкий у я слабость пониженный работоспособность сонливость уменьшать дозировка атенолол до утро и вечер но раз в  я принимать не удобный к то же трудно делить таблетка на часть с учет мой пожелание бетаблокатор раз в день один кардиолог посоветовать заменять атенолол на бетаксолол другой на метопролол сукцинат я нравиться второй вариант вопрос одобрять ли замена атенолол на метопролол сукцинат если нет тот почему какой доза метапролол сукцинат быть эквивалентный назначать я доза атенолол","C"
"возраст год кардиолог ставить диагноз такой как ибс стенокардия напряжение фк клинический гипертонический болезнь стадия риск ибс эффект спонтанный копнстрактирование ст с высокий риск тромбообразование хсн фк хранический сердечный недостаточность что этот болезнь опасный последствие должный ли врач давать инвалидность при такой заболевание как часто должный лежать в стационар","Other"
"в последний время я беспокоить боль в сердце принимать нитроглицерин но боль не купироваться болеть сердце минута и перестовать сегодня пойти в магазин и на касса очень сильный щаболеть сердце пульсируюшай боль в висок резкий слабость и головокружение закладывать ухо думать что уже упасть в обморок и такой состояние у я впервые за сегодня раз повторяться подсказывать что этот мочь быть и к кто я обращаться","C"
"я звать владимир я год недавно сдавать анализ кровь и замечать что у я завышать алта и билирубин в ночь перед сдача анализ я пить кардиомагнил мл и таблетка вамилан валериан в интернет находить информация о то что выпивать на канун валерианка иили аспирин мочь давать ложный показатель анализ на алта правда ли этот прочитывать в интернет что повышение это показатель мочь свидетельствовать о наличие серьезный заболевание инфаркт миокардцирроз печень гепатит рак печень и тд я очень сильный переживать за свой здоровье и не мочь находить себя место а сл анализ у я получаться сдавать только через неделя давать  ответ на мой вопрос","Other"
"врач выписывать метопролол в дозировка мг но в аптека  что такой дозировка не бывать только от мг прочитывать что дробить таблетка нельзя как быть подсказывать мочь весь таки можно и если нет какой быть аналог у это препарат и какой длительность прием препарат верошпирон заранее спасибо за ответ","C"
"я год пол мужской последний год бесплкоит повышенный давление примерно до по давать повод принимать лекарство валз рано принимать конкор ама сейчас возникать проблема становиться отекать нога вылезать весь вена   что мочь провоцировать отек сам болезнь или прием лекарство и что можно сделать для стабилизация процесс","C"
"ирина год уважать доктор сначала о мой проблема с гпоявляться экстрасистолия в гвпервые происходить приступ мерцательный аритмия в г выполнять рча в г самар приступ становиться появляться редко легко купироваться принимать ксарелтый р в  конкор мг р в  в май г посол орви ритм срываться быть сильный кашель восстанавливать только в стационарвыписывать с синусовый ритм назначать сотагексал р в день в и ксарелтый посол месяц прием препарат выполнять холтер мониторирование вот результат зарегистрировать комплекс qrsсредний чсс удамина минимальный чсс равный удамина наблдюдаться в максимальный чсс равный удамина в зарегистрировать следующий эпизод желэкстрасистола макс между и наджелудочков экстрасистола макс между и ч время групповой с час мина до ч мина регистрироваться фибрилляция предсердие с чсс в мина с ч мина и до ч мина регистрироваться хаотичный предсердный тахикардия с чсс в мина достоверный изменение сегмент st составлять мв максимальный отклонение равный мв наблюдаться в результат эхо без патология анализ кровь сахар холестерин биохимия ттг весь в норма сейчас продолжаюприем сотагексал х р ксарелтый хр на прием доктор рекомендовать заменять сотагексал на конкор хр и пропанорма при приступ т одновременно у я такой вопрос быть ли серьезный нарушение по результат холтер как находить причина возникновение аритмия правильно ли подбирать лечение препарат оправдывать ли замена сотагексал на конкор и пропанорма спасибо вы заранее","C"
"я год быть наследственный предласположенность к инфаркт инсульт и гипертония стоять ли для профилактика этот заболевание принимать панангин чтобы предостерегать себя от этот заболеваний и что еще необходимый для профилактика этот заболеваний","Other"
"извинять за беспокойство я звать ирина я год в июнь это год я поставлять диагноз миокардиодистрофия выписывать следующий таблетка предуктал адаптол и аспаркам а также советовать соблюдать диета посол то как пропивать таблетка  пройти эхокг и холтер в течение этот неделя я пройти оба исследование по результат эхокг написать следующий формироваться аортальный порок сердце недостаточность аортальный клапан а по результат холтер синусовый аритмия единичный желудочковый экстрасистола парной предсердный экстрасистолия миграция водитель ритм по предсердие собственный вопрос вот в что почему заключение разный и как они понимать спасибо","C"
"приветствовать сделать экг поставлять синусовый тахикардия при хотьба пульс посол сон ходить в спорт зал там подскакивать до бегать по утро не многий мочь разогнаться до думать этот развиваться в следствие два год депрессия и нерв тк врач поставлять не верный диагноз пить фенозеп и аммитриптилин без они почти не спать  влиять ли этот препарат на сердечный сосудистый система и что делать в мой случай я год заранее благодарить за ответ","Other"
"иван викторович я год давно беспокоить аритмия сердце по суточный мониторирование экг определять желудочковый экстрасистола наджелудочковый экстрасистола из они эпизод группов нжэ qtсредн мс qt средн мс ишемический изменение не выявлять циркадный индекс норма давно принимать небилет по таблетка аритмия наблюдаться в вид внеочередной сокращение и замирание сердцене часто мочь небилет не устранять аритмия иван викторовь посоветовать  какой препарат можно убирать или сводить к минимум аритмия быть вы очень благодарить с уважение виктор иванович","C"
"мой папа год он диабетик диабет тип май он сделать стентирование сосудоперация делать разстент тромбироваться в итог во время операция получать обширный инфаркт  проводить в реанимация под аппарат посол реанимация  в палата и выписывать домой в неважный состояние назначать лечениеизокет при боль в сердцеэгилка раз в день кардиомагнил р вечербриллинт мл раз в день аторвастатин мл раз вечер верошпирон мл раз утро и диета посол прием лекарство особенно верошпирон утро у он падать давление до а вообще давление держаться иногда возникать жжение в грудь постоянный слабость иногда не хватать воздух я прочитывать показание эгилок и верошпирон оказываться этот препарат понижать давлениеа эгилка вообще противопоказанный диабетик мы теперь не знать как быть стоять ли они принимать далеко местный врач  что если прописывать значит надо принимать весь в полный объем","C"
"уважать антон владимирович примерно в год становиться появляться аритмия фибриляция предсердие и экстрасистола с год принимать раз в  пропанорма мг при возниковение фибриляция предсердие и экстрасистола в средний раз в месяц увеличивать доза пропанорма и как правило весь успокаиваться через час в август г и апрель г проводить стентирование два сосуд устанавливать стент принимать аспирин кардио зилт крестор липримар эзетрол я год пульс в спокойный состояние удамина проводить чреспищеводный исследование тромб не обнаруживать просить проконсультировать о возможность проведение рча и возможный ограничение особенность и сложность проведение операция в мой случай иметься ли какой тот особый требование к кардиоцентр проводить аналогичный операция и он оснащение с уважение головин ан","Other"
"любовь евгеньевна я год давление постоянно головной боль часто в затылочный часть два год пить диротон но в последний время он маленький помогать хотеть сменить лекарство участковый терапевт без обследование назначать коронал и нолипрелый но этот уже сердечный и серьезный лекарство опасаться пить начинать как бы не быть плохой благодарный заранее татьяна","C"
"марии евгеньевна в течение два месяц я беспокоить учащенный сердцебиение до удар при небольшой повышенный нагрузка и посол прием пища когда пульс повышаться тот я кидать в жар узи сердце в норма на экг синусовый тахикардия и холтерэкг в норма также отмечаться повышенный пульс до это ничто не беспокоить весь гормон в норма месяц назад принимать бисопролол быть еще плохой в связь с что мочь быть связанный давать состояние и что необходимый предпринимать для восстановление пульс","C"
"антон владимирович мой свекровь год врач назначать принимать лорист мг раз в  индапамид конкор до это принимать энап но на он появляться реакция в вид кашель принимать постоянно лорист по мг раз в день так как посол целый таблетка давление падать до а также конкор мг индапамид принимать не хотеть тк мочегонное и выходить надолго из дом не смочь по она слово в последний время приблизительно около месяц назад начинаться периодический вечерний и ночной повышение давление до однажды быть до мм рт ст вызывать скорый посол это при такой повышение давление свекровь принимать капотный посол что давление снижаться приблизительно до мм ртст еще волновать низкий диастолический давление который держаться в предел мм ртст антон владимирович что вы посоветовать в давать ситуация какой обследование необходимый пройти прилагать результат последний экг делать скорый и эхо спасибо","C"
"я год рост см вес кг диагноз мерцательный аритмия я назначать препарат конкор кора мг который я исправно принимать по утро каждый  но последний время становиться замечать что сердечный ритм так и норовить срываться и в течение  и ночь подсказывать  можно и на ночь принимать конкор кора мг","C"
"уважать доктору я гипертония с год принимать тенорикад на последний месяц принимать ларист конкор лето раз ночь останавливаться сердцевскакивать с ужасколоть сердцеотдавать под лопатка и в шеятяжесть в рука и грудьснимать боль нитроглицеринсделать экг ар блокада стритм синусовыйсснарушение вп по правый ножкаумеренныйизменамиокард отменять конкорстановиться еще плохойадскакать на через полчаса на пульс не менятьсясердце выскакиватьпосол капля валокордин сердце успокаиваться а пульс частыйбыть у кардиолог поставлять диагнозатеросклерозибсстенокардия напряжение гипертболезнь стрискназначатькардиомагнилбетолак зкамгсиднофарммг разонаркамикардисмгкатадолонмгподсказывать  быть ли смысл менять конкор на бетолаки ларист на микардиси должный ли уменьшаться пульс на фон этот препарат и можно ли пить бето блокатор при блокада станализхолестерин триглицеридлнп лвп на давать момент боль в сердце сохраняться и тяжесть в рукаплечо и грудьбольшой спасибо за понимание и помощьс уважение светлана сергеевна","C"
"помогать совет специалист у я мерцательный аритмия последний раз лежать в стационар в конец октябрь го проблема в то что я лечить врач приписывать препарат конкор этот эффективный препарат но он сокращать чсс а у я сердце и так биться неспеш удар в минута посол прием конкор чсс уходить на удар в минута я покупать по мг сердечко пробовать пить по половинка сердечко весь равный биться редко примерно удар а вот сегодня я на смена так сердце вообще еле еле стучать и боль в грудь появляться хоть и не сильный еще я принимать индапамид мв с утро и кардиомагнил на ночь вес у я кг быть я похудеть немного еще на состояние погода влиять когда снег осадок я прямой засыпать  быть ли препарат не уменьшать чсс мочь я чтото другой нужно принимать","Other"
"хотеть бы узнавать ваш мнение стоять ли действительно проводить рча при желудочковый экстасисталий парасисталий до жэс максимальный выявлять в период беременность я ничто не ощущать только иногда при волнение учащенный сердцебиение мрт в нормаэкг с нагрузка отрицательный гормон щитовидный железа в норма по анализ к антиген миокард перенести миокардит я назначать госпитализация для рча но я медикамент не лечиться антиаритмический препараттолько я для диагностика назначать финлепсин и беталкав один гос учреждение  пить адаптолмагн б аллапинин но сказать хороший не пить в мой случай иначе пить приходиться из весь жизнь во кардиоцентр сказать делать операция я очень страшный делатьначитываться негативный отзыв и бояться осложнениеможно ли в мой случай обходиться без операцияесли датот как лечиться я назначать этазицин а если совсем не питьчто я этот грозитьна скольким в е серьезный","C"
"в февраль г перенести острый инфаркт миокард поставлять стент назначать прием различный препарат основной из который являться плавикс нужно год он пить каждый  а теперь необходимый операция по удаление камень в желчный пузырь как быть не знать бояться прекращать пить плавикс даже на несколько день но и операция необходимый терапевт в хирургия  что перед операция на пять день плавикс заменяться клексан возможно ли этот вобщий","Other"
"еще раз  я год пенсионерка около год страдать повышенный давление лечение начало год назад результат общий анализ кровь хороший количество сахар холестерин чуть повышать но не критический последний год постоянно принимать presteram и до недавний время вечер еще таблетка valsacor в последний месяц давление начало падать и сейчас часто бывать от вечерний таблетка valsacor отказываться посол прогулка давление обычно еще более становиться низкий пульс при это удармина явление аритмия также присутствовать ранее посол прием таблетка давление почти всегда быть и я быть это рад а сейчас вот такой парадокс подсказывать почему происходить такой понижение давление и не опасный ли этот","C"
"уважать доктор начинать с то что я год на давать момент кормить ребеночек грудь весь начинаться в год в февраль месяц быть беременный сильный переболеть орви лежать в больница посол это через месяц начинаться тахикардия пить кордарон посол род весь быть хороший и вот спустя полтора год посол род вновь возобновляться тахикардия в сентябрь месяц на протяжение дней мучать тахикардия до уд в мина ежедневно обращаться к терапевт назначать конкор и обследование вот результат анализ анализ кровь мочь весь в норма гормон в норма узи щитовидный железа и брюшной полость в норма узи сердце пмк полость сердце не расширять мр непонятный как написать поэтому под вопрос недостойка ласт фв экг синусовый предтахикардия холтеровский мониторирование блокада шт наджелудочковый одиночный шт в течение дневной период наблюдение регистрся склонность к синусовый тахиаритмия средний чсс в дневной период уда в мина в покой уда в мина максим чсс уд в мина в ночной период уда в мина максим уд в мина минивать уд в мина на фон миграция водитель ритм по предсердие ци усиливать циркадный профиль ритм редкий суправентикулярный экстрасистола на фон частый ритм более уд в мина эмоциональный разговор в результат ортостаз подъем в горка езда на автомобиль подъем и спуск по лестница регистрися вторичный нарушение прсова реполяризация в отва см avfотрицата з т косовосходящий и горизонтальный и косонисходящий депрессия сегма sт выпуклость вверх длительность до мин субъективный без жалоба в ночной период регистрися миграция водитель ритм по предсердие один кардиолог я поставлять диагноз всд с кардиальный синдром не искл пмкс пмкст синусовый тахиаритмия миграция вода ритм по предсердие хсн  что колика изза пролапс другой кардиолог поставлять постмиакордический атеросклероз что колоть так и быть изза давать диагноз и сказать отменять конкор так как выделяться с молоко и отучать от грудь ребеночек но сейчас не мочь прекращать грудной вскармливание так как число с ребеночек ложиться на операция по повод водянка а потом уже быть отлучать а при тахикардия принимать корвалол в дозировка капля обращаться к невропатолог диагноз прочитывать не мочь но как я понимать с он слово что у я слева весь мышца напряженный и что колика этот не сердечный совершенно далее по совет второй кардиолог три  не пить конкор пульс быть от до но на четвертый  опять подниматься до уд в мина обращаться в этот же день к терапевт доктор спрашивать я как я себя чувствовать я он сказать что колика продолжаться почти каждый день и мочь сохраняться по пол день и даже целый день и бывать что при ходьба как бы щимит в сердце но очень редко сказать что переставать принимать конкор так как кордиолог сказать что он выделяться с молоко далее он спрашивать что я делать при колика я отвечать что ничто он я сказать что необходимый при первый колика необходимый принимать по пол таблетка нитроглицерин так как страдать миокард нехватать кислород а так же терапевт сказать что я необходимый прекращать грудной вскармливание и продолжать принимать конкор иначе последствие быть плачевный и что я не выдержуй уважать доктор сказать  на скольким правый специалист и какой всетаки правильный диагноз и какой бы обследование вы посоветовать еще пройти ну и конечно же мочь быть какойто капельница или укол проставлять необходимый так как никакой лечение я не назначать и как я быть с нитроглицерин миленький доктор помогать сказать пожалуйста что я делать как быть я простой не мочь полноценный жить страшный становиться каждый день в голова лезть всякий дурной мысль а ведь житьтот хотеться ребеночек маленький на рука и на скольким этот весь серьезный и опасный и поддаваться ли лечение заранее балгодарь вы спасибо за ваш труд давать бог здоровье вы и ваш семья я простой не знать что уже и делать куда идти и как быть замучать колика извинять за столь большой текст пытаться описывать более подробно благодарить еще раз","C"
